Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
12,0.67,11.6,17.4,5.8,0.027,159.0,0.103,255.0,0.0
4,1.04,12.1,11.6,1.9,0.1989999999999999,193.0,0.372,2754.0,1.0
10,1.0,12.9,12.9,3.7,0.132,184.0,0.195,1836.0,1.0
9,1.3,16.1,12.4,2.1,0.129,249.0,0.32,1785.0,1.0
8,0.86,9.4,10.9,2.3,0.125,173.0,0.354,1734.0,1.0
7,0.67,8.7,13.0,1.7,0.066,139.0,0.244,918.0,0.0
3,0.93,9.6,10.3,2.1,0.066,138.0,0.358,918.0,1.0
13,1.01,11.5,11.4,4.1,0.048,176.0,0.173,663.0,1.0
12,0.8,10.2,12.7,3.2,0.044,148.0,0.361,612.0,1.0
6,1.09,12.7,11.7,3.5,0.044,176.0,0.289,612.0,1.0
1,1.02,12.1,11.9,4.5,0.04,164.0,0.271,561.0,2.0
5,1.02,10.2,10.0,1.6,0.033,173.0,0.272,459.0,1.0
14,1.24,10.5,8.5,1.3,0.0289999999999999,192.0,0.2739999999999999,408.0,1.0
2,0.64,8.5,13.3,4.8,0.022,122.0,0.1369999999999999,306.0,1.0
11,1.14,14.0,12.3,4.0,0.015,199.0,0.286,204.0,2.0
0,0.83,15.0,18.0,8.5,0.0069999999999999,183.0,0.1669999999999999,102.0,1.0
10,0.99,13.6,13.8,4.5,0.16,195.0,0.1169999999999999,2652.0,1.0
9,1.12,16.5,14.8,4.1,0.157,241.0,0.162,2601.0,1.0
4,1.0,15.4,15.4,3.4,0.136,232.0,0.2,2244.0,1.0
6,0.89,13.1,14.7,4.4,0.108,191.0,0.118,1785.0,1.0
8,0.97,17.4,17.9,4.9,0.083,243.0,0.163,1377.0,1.0
5,0.85,11.3,13.3,4.1,0.077,193.0,0.081,1275.0,1.0
3,1.14,16.0,14.0,4.3,0.068,220.0,0.14,1122.0,1.0
