Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Label
15,1.0,0.135,0.7020000000000001,0.1639999999999999,0
2,1.0,0.075,0.7879999999999999,0.1369999999999999,0
8,1.0,0.26,0.691,0.049,2
1,0.7,0.175,0.7,0.126,0
13,0.7,0.081,0.64,0.2789999999999999,0
16,39.5,0.149,0.74,0.1119999999999999,2
11,22.4,0.133,0.7390000000000001,0.128,2
14,17.1,0.106,0.742,0.151,0
5,9.0,0.151,0.743,0.106,0
3,6.9,0.128,0.755,0.118,0
10,5.2,0.106,0.841,0.053,2
0,5.1,0.068,0.6970000000000001,0.235,0
12,4.4,0.195,0.731,0.074,1
9,3.3,0.086,0.688,0.226,1
7,3.2,0.104,0.701,0.195,0
4,2.3,0.143,0.746,0.111,0
2,2.3,0.107,0.747,0.146,1
6,2.3,0.145,0.752,0.102,2
8,1.7,0.179,0.752,0.07,1
15,1.6,0.141,0.715,0.144,0
1,1.2,0.126,0.737,0.1369999999999999,0
13,0.9,0.12,0.6859999999999999,0.1939999999999999,0
11,5.8,0.114,0.76,0.126,1
16,5.3,0.1119999999999999,0.725,0.163,1
14,4.4,0.108,0.73,0.162,0
0,3.2,0.088,0.713,0.2,0
7,2.4,0.122,0.716,0.162,1
9,2.1,0.084,0.634,0.282,1
10,1.8,0.095,0.833,0.071,2
2,1.7,0.064,0.752,0.183,0
5,1.6,0.127,0.732,0.142,0
12,1.5,0.1639999999999999,0.687,0.149,0
3,1.3,0.111,0.722,0.1669999999999999,0
6,1.3,0.086,0.657,0.257,1
8,1.1,0.111,0.815,0.074,2
15,1.1,0.032,0.778,0.19,1
4,0.9,0.188,0.813,0.0,0
1,0.9,0.1939999999999999,0.71,0.0969999999999999,0
13,0.7,0.267,0.5670000000000001,0.1669999999999999,0
16,10.3,0.198,0.743,0.059,2
11,7.2,0.179,0.7440000000000001,0.077,1
14,3.1,0.156,0.7559999999999999,0.088,0
10,3.0,0.16,0.8220000000000001,0.018,2
9,2.0,0.0,0.765,0.235,2
5,1.9,0.211,0.711,0.077,0
3,1.7,0.1989999999999999,0.722,0.08,0
6,1.5,0.27,0.635,0.095,2
0,1.5,0.0,0.75,0.25,1
12,1.4,0.226,0.745,0.0289999999999999,1
7,1.4,0.144,0.687,0.1689999999999999,0
4,1.4,0.173,0.7659999999999999,0.061,0
15,1.3,0.258,0.6990000000000001,0.043,1
2,1.3,0.162,0.76,0.078,1
13,1.1,0.133,0.7909999999999999,0.076,0
8,0.9,0.278,0.667,0.0559999999999999,1
1,0.9,0.079,0.778,0.143,0
16,10.6,0.191,0.746,0.064,2
11,7.8,0.1889999999999999,0.7390000000000001,0.072,1
14,3.1,0.161,0.746,0.093,0
9,2.7,0.13,0.804,0.065,0
5,2.0,0.2239999999999999,0.723,0.053,0
10,1.6,0.042,0.8959999999999999,0.063,2
3,1.5,0.196,0.7390000000000001,0.065,0
4,1.5,0.207,0.701,0.092,0
6,1.5,0.111,0.889,0.0,1
12,1.4,0.228,0.703,0.068,1
15,1.4,0.159,0.81,0.032,0
7,1.4,0.11,0.722,0.1669999999999999,0
2,1.1,0.145,0.745,0.109,1
0,1.0,0.071,0.821,0.107,1
13,0.6,0.103,0.809,0.088,0
8,0.5,0.19,0.81,0.0,1
1,0.0,0.133,0.867,0.0,0
16,7.0,0.135,0.732,0.133,2
11,5.0,0.121,0.742,0.1369999999999999,2
14,3.4,0.104,0.7559999999999999,0.14,0
0,3.1,0.072,0.68,0.248,0
9,2.5,0.077,0.715,0.208,1
7,2.1,0.1009999999999999,0.7290000000000001,0.1689999999999999,0
10,2.0,0.115,0.8340000000000001,0.051,2
5,1.9,0.1369999999999999,0.742,0.12,0
6,1.9,0.188,0.7,0.113,2
3,1.5,0.109,0.767,0.124,0
2,1.5,0.163,0.755,0.0819999999999999,1
4,1.3,0.147,0.7609999999999999,0.092,0
12,1.3,0.198,0.7240000000000001,0.078,1
1,1.3,0.144,0.7120000000000001,0.144,0
8,1.0,0.165,0.687,0.148,1
13,0.6,0.1009999999999999,0.7140000000000001,0.185,0
15,0.4,0.104,0.7759999999999999,0.119,0
16,9.1,0.131,0.7509999999999999,0.118,2
11,4.9,0.113,0.754,0.133,1
14,3.9,0.105,0.75,0.144,0
9,3.8,0.098,0.7040000000000001,0.198,1
0,2.7,0.08,0.7170000000000001,0.203,0
10,2.6,0.106,0.857,0.037,2
5,2.3,0.151,0.746,0.102,0
7,2.2,0.1119999999999999,0.7020000000000001,0.186,0
12,1.6,0.183,0.726,0.091,1
3,1.6,0.12,0.769,0.111,0
4,1.3,0.122,0.774,0.104,0
8,1.2,0.186,0.741,0.072,2
2,1.1,0.121,0.7440000000000001,0.135,1
6,1.1,0.156,0.7929999999999999,0.052,2
15,0.9,0.134,0.731,0.134,0
13,0.8,0.09,0.7190000000000001,0.192,0
1,0.7,0.111,0.787,0.102,0
16,9.7,0.216,0.7240000000000001,0.06,2
11,6.9,0.184,0.74,0.076,2
14,3.0,0.15,0.767,0.083,0
10,3.0,0.195,0.7559999999999999,0.049,2
5,2.5,0.258,0.6779999999999999,0.064,0
9,2.0,0.176,0.5589999999999999,0.265,2
6,2.0,0.6,0.4,0.0,2
12,1.8,0.34,0.601,0.059,1
3,1.6,0.173,0.7709999999999999,0.057,0
0,1.5,0.05,0.95,0.0,0
7,1.3,0.163,0.731,0.106,0
4,1.2,0.242,0.687,0.071,0
15,1.0,0.235,0.706,0.059,2
13,0.3,0.2,0.667,0.133,0
2,0.3,0.0,0.72,0.28,0
8,0.0,0.0,1.0,0.0,0
1,0.0,0.2,0.8,0.0,0
16,13.4,0.245,0.698,0.057,2
11,8.4,0.225,0.7090000000000001,0.067,2
14,3.2,0.187,0.723,0.09,0
10,3.1,0.106,0.873,0.021,2
5,2.4,0.268,0.679,0.053,0
9,2.3,0.156,0.688,0.156,1
12,2.1,0.28,0.67,0.05,1
4,1.6,0.222,0.72,0.0579999999999999,0
3,1.6,0.225,0.721,0.053,0
6,1.6,0.252,0.68,0.068,2
8,1.5,0.2239999999999999,0.72,0.0559999999999999,2
7,1.5,0.104,0.7659999999999999,0.13,0
2,1.4,0.201,0.721,0.078,1
15,1.3,0.201,0.755,0.043,0
1,0.8,0.1969999999999999,0.773,0.03,0
0,0.8,0.067,0.76,0.173,0
13,0.5,0.076,0.753,0.171,0
16,12.4,0.165,0.748,0.087,2
11,7.1,0.153,0.7490000000000001,0.098,2
14,3.8,0.126,0.757,0.1169999999999999,0
10,3.4,0.1119999999999999,0.8490000000000001,0.039,2
9,2.9,0.099,0.716,0.185,1
5,2.6,0.184,0.7440000000000001,0.072,0
0,1.9,0.084,0.7340000000000001,0.183,0
3,1.8,0.155,0.7609999999999999,0.084,0
12,1.6,0.212,0.728,0.06,1
7,1.6,0.121,0.727,0.152,0
6,1.5,0.198,0.738,0.065,2
2,1.4,0.142,0.748,0.109,1
4,1.4,0.154,0.76,0.086,0
8,1.3,0.21,0.7440000000000001,0.046,2
15,0.9,0.17,0.738,0.093,0
1,0.8,0.154,0.7490000000000001,0.098,0
13,0.7,0.133,0.728,0.139,0
5,6.5,0.146,0.754,0.1,0
4,6.4,0.145,0.7390000000000001,0.1159999999999999,0
